,longitude,latitude,full_geoid,geoid
123,-74.0047906,40.7569672,360610099031000,36061009903
124,-73.9684943,40.7100764,360470549001003,36047054900
125,-73.9271529,40.7648738,360810075001000,36081007500
126,-73.922886,40.809106,360050039002001,36005003900
127,-73.9094408,40.7818222,360810105004000,36081010500
128,-73.9337403,40.7506524,360810171021004,36081017102
129,-74.0082453,40.7077966,360610015022007,36061001502
130,-73.9104311,40.8055381,360050019021006,36005001902
131,-73.9816524,40.7670326,360610137004003,36061013700
132,-73.9485611,40.6563577,360470804003003,36047080400
133,-73.9415037,40.7637748,360810037001004,36081003700
134,-74.0058474,40.7116883,360610015011003,36061001501
135,-73.9567206,40.7616406,360610116001007,36061011600
136,-73.9611718,40.7211371,360470557002001,36047055700
137,-73.9481883,40.7704518,360610136021000,36061013602
138,-73.9012929,40.76791,360810137001004,36081013700
139,-74.0075676,40.7257792,360610037003007,36061003700
140,-73.9940161,40.6719759,360470119021005,36047011902
141,-73.9727706,40.7668342,360610143001032,36061014300
142,-73.9521783,40.7339983,360470579012011,36047057901
143,-73.9472054,40.7864996,360610156021001,36061015602
144,-73.94701,40.7647504,360610238022001,36061023802
145,-73.9293327,40.7470682,360810171011010,36081017101
146,-73.9156768,40.7703395,360810125001003,36081012500
147,-73.9096649,40.7770126,360810113001001,36081011300
148,-73.9336516,40.8440856,360610311001009,36061031100
149,-74.0035851,40.7262418,360610049002000,36061004900
150,-74.0021745,40.7230293,360610047001003,36061004700
151,-74.0096676,40.7221953,360610039001016,36061003900
152,-73.9729325,40.7373809,360610062002000,36061006200
153,-73.980303,40.7805992,360610163005003,36061016300
154,-73.9095246,40.8813601,360050295004001,36005029500
155,-74.0177078,40.7067867,360610317044000,36061031704
156,-73.9244069,40.7449912,360810181012001,36081018101
157,-73.9261364,40.8350522,360050199003001,36005019900
158,-74.0127008,40.6525094,360470002001012,36047000200
159,-73.9777412,40.7301778,360610044003000,36061004400
160,-73.939948,40.8203116,360610232002000,36061023200
161,-73.9000818,40.9155697,361190002033000,36119000203
162,-73.9329769,40.752801,360810031002001,36081003100
163,-73.9134622,40.7631843,360810147003001,36081014700
164,-73.9385344,40.8454642,360610263004003,36061026300
165,-73.9113265,40.8198517,360050071001006,36005007100
166,-73.9815958,40.7613257,360610131002002,36061013100
167,-74.0049517,40.7228814,360610047002005,36061004700
168,-73.9562491,40.7815641,360610150021002,36061015002
169,-73.9106252,40.7639415,360810147002000,36081014700
170,-73.9443664,40.7840005,360610156021000,36061015602
171,-74.0116423,40.7137173,360610021003005,36061002100
172,-73.9184953,40.8818067,360050301002001,36005030100
173,-73.9190941,40.6543022,360470888003008,36047088800
174,-74.0072089,40.728852,360610069003000,36061006900
175,-74.0169431,40.7049282,360610317043003,36061031704
176,-73.9062361,40.8174099,360050075004000,36005007500
177,-73.9290367,40.7660007,360810075001000,36081007500
178,-73.9720021,40.7947598,360610183004001,36061018300
179,-73.933628,40.7662925,360810045001004,36081004500
180,-73.9472297,40.7112441,360470503002001,36047050300
181,-73.962472,40.7671877,360610120004006,36061012000
182,-73.9549513,40.7351144,360470575001001,36047057500
183,-73.901146,40.70989,360810593002000,36081059300
184,-73.9512317,40.7751077,360610138004000,36061013800
185,-73.9348499,40.6743138,360470345002001,36047034500
186,-73.983219,40.7333524,360610048007000,36061004800
187,-73.9579023,40.7821073,360610150023000,36061015002
188,-73.9032674,40.6770288,360470367001003,36047036700
189,-73.9428967,40.6717679,360470339003000,36047033900
190,-73.9332834,40.8472177,360610261003009,36061026100
191,-73.9880345,40.7182978,360610018002005,36061001800
192,-73.9825149,40.7260904,360610032007001,36061003200
193,-73.9483084,40.7863629,360610156021001,36061015602
194,-73.9677178,40.6977783,360470543001004,36047054300
